Name,Start,End,Size
# ---- Manually identified via runtime tracing (session 1-5, 2026-04) ----
# Format: Name, Start VA, End VA (0 = unknown), Size (0 = unknown)
# These names can be imported into Ghidra via the "Import Function Names" script.
_start,0x00100008,0x00100094,140
boot_subinit,0x00239C40,0x00239C40,0
perMip_decompressTrigger,0x0023F0C0,0x0023F0C0,0
ipu_textureDecompOrchestrator,0x0023A770,0x0023A770,0
gs_dispatchHelper,0x00133660,0x00133660,0
gs_renderHelper,0x001336C0,0x001336C0,0
gs_initState,0x00251B10,0x00251B10,0
gs_initState_outer,0x00251A20,0x00251B10,240
vif1_frameSubmit,0x00251DF0,0x00251DF0,0
vif1_buildPacket,0x00257080,0x00257080,0
gs_waitCSRFinish,0x00258E70,0x00258E70,0
moduleMain_outer,0x002E90F0,0x002E9150,96
moduleMain,0x002E9150,0x002E9150,0
getModuleStructPtr,0x002EB050,0x002EB050,0
vblank_waitGated,0x002EB0C8,0x002EB0C8,0
ipu_preOrchestrator,0x002EF7D8,0x002EF7D8,0
ipu_mb_decodeLoop,0x002EFB20,0x002EFB20,0
ipu_perMB_orchestrator,0x002EFDD0,0x002EFDD0,0
ipu_vdec,0x002F0778,0x002F0778,0
ipu_ctrl_rst,0x002F47E8,0x002F47E8,0
setSyscall_wrapper,0x002F5850,0x002F5860,16
setSyscall_wrapper2,0x002F5860,0x002F5860,0
boot_init2,0x002F5E20,0x002F5E20,0
syscall_noop,0x002F5E50,0x002F5E50,0
vblank_wait,0x002F6030,0x002F60C0,144
vblank_waitCancellable,0x002F60C0,0x002F60C0,0
memcpy_handler,0x002F68B0,0x002F68B0,0
rpc_handlerThread_outer,0x002F68F8,0x002F69D0,216
rpc_handlerThread,0x002F69D0,0x002F69D0,0
ipu_ctrl_tlb_related,0x002F7430,0x002F7430,0
ee_exceptionHandler,0x002FE100,0x002FE660,1376
ee_exceptionSaveState,0x002FE300,0x002FE300,0
frameDispatch,0x002FE400,0x002FE440,64
exceptionReturn,0x002FE440,0x002FE440,0
disableInterrupts_check,0x002FE660,0x002FE660,0
findAddress_handler,0x002FE708,0x002FE7C0,184
boot_overlay_init,0x002FE7C0,0x002FE8D0,272
memcpy_variant2,0x002FE820,0x002FE820,0
kernel_overlay_loader,0x002FE8D0,0x002FE8D0,0
moduleDispatch,0x002FEA30,0x002FEA30,0
setGameState_setStateHandler_fused,0x002FDCE8,0x002FDDF8,264
setGameState,0x002FDDF8,0x002FDE58,88
setStateHandler,0x002FDE58,0x002FDEF0,152
memcpy_variant3,0x002FDEF0,0x002FDEF0,0
moduleManager_mainLoop,0x00302DF0,0x00302DF0,0
renderList_init,0x00304718,0x00304718,0
moduleStatus_check,0x00308B00,0x00308B00,0
vtable_handler_308df8,0x00308DF8,0x00308DF8,0
vtable_handler_30451c,0x0030451C,0x0030451C,0
module_renderPrep,0x003075A8,0x003075A8,0
renderList_manager,0x0030B4F0,0x0030B4F0,0
# ---- Ghidra-exported (original, start address order) ----
FUN_002fd1b8,0x002FD1B8,0x002FD3B8,512
FUN_002fd3c0,0x002FD3C0,0x002FD448,136
FUN_002fd450,0x002FD450,0x002FD4E8,152
FUN_002fd4f0,0x002FD4F0,0x002FD578,136
FUN_002fd580,0x002FD580,0x002FD594,20
FUN_002fd5a0,0x002FD5A0,0x002FD5B4,20
FUN_002fd5c0,0x002FD5C0,0x002FD7DC,540
FUN_002fd7e8,0x002FD7E8,0x002FD800,24
FUN_002fd808,0x002FD808,0x002FD81C,20
FUN_002fd828,0x002FD828,0x002FD924,252
FUN_002fd930,0x002FD930,0x002FD944,20
FUN_002fd978,0x002FD978,0x002FDA5C,228
FUN_002fda68,0x002FDA68,0x002FDB3C,212
FUN_002fdb48,0x002FDB48,0x002FDC7C,308
FUN_002fdc88,0x002FDC88,0x002FDCA8,32
FUN_002fdcb0,0x002FDCB0,0x002FDCE0,48
FUN_002fdce8,0x002FDCE8,0x002FDDF0,264
FUN_002fddf8,0x002FDDF8,0x002FDE50,88
entry_0x100008,0x00100008,0x00100094,140
